unique_id,indicator_id,name,measure,measure_info,geo_type_name,geo_join_id,geo_place_name,time_period,start_date,data_value
602877,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,302,Central Harlem - Morningside Heights,Summer 2018,2018-06-01,16.9
166683,375,Nitrogen dioxide (NO2),Mean,ppb,CD,101,Financial District (CD1),Summer 2010,2010-06-01,31.24
172607,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,306308,Chelsea-Village,Annual Average 2009,2008-12-01,38.16
154520,644,Annual vehicle miles traveled (cars),Million miles,per square mile,CD,208,Riverdale and Fieldston (CD8),2005,2005-01-01,30.10114
222589,386,Ozone (O3),Mean,ppb,UHF42,404,Bayside - Little Neck,Summer 2011,2011-06-01,33.03
799850,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,UHF42,408,Jamaica,2014,2014-01-01,1.376572779
336749,375,Nitrogen dioxide (NO2),Mean,ppb,CD,110,Central Harlem (CD10),Summer 2015,2015-06-01,19.12
173165,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,205,Sunset Park,Winter 2010-11,2010-12-01,13.49
412608,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,304,Upper West Side,Summer 2016,2016-06-01,19.1
175329,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,501,Port Richmond,Winter 2009-10,2009-12-01,22.81
170425,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,302,Fort Greene and Brooklyn Heights (CD2),Annual Average 2013,2012-12-01,9.52
823577,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,503,Tottenville and Great Kills (CD3),Annual Average 2022,2022-01-01,4.995005981
175902,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,306,Chelsea - Clinton,Summer 2009,2009-06-01,37.13
177862,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,203,Bedford Stuyvesant - Crown Heights,Summer 2011,2011-06-01,11.54
670953,386,Ozone (O3),Mean,ppb,UHF42,309,Union Square - Lower East Side,Summer 2020,2020-06-01,28.92
669597,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,104,Clinton and Chelsea (CD4),Winter 2019-20,2019-12-01,10.55
154474,645,Annual vehicle miles traveled (trucks),Million miles,per square mile,CD,309,South Crown Heights and Lefferts Gardens (CD9),2005,2005-01-01,2.338782
221876,386,Ozone (O3),Mean,ppb,UHF34,211,Williamsburg - Bushwick,Summer 2012,2012-06-01,32.28
816877,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,205,Sunset Park,2019,2019-01-01,101.626775
178523,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,503,Willowbrook,Annual Average 2011,2010-12-01,9.63
174148,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,202,Downtown - Heights - Slope,Annual Average 2010,2009-12-01,10.49
227567,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,CD,503,Tottenville and Great Kills (CD3),2011,2011-01-01,1.7
602793,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,403,Flushing - Clearview,Summer 2018,2018-06-01,12.95
131494,651,Cardiovascular hospitalizations due to PM2.5 (age 40+),Estimated annual rate,"per 100,000 adults",UHF42,408,Jamaica,2009-2011,2009-01-01,18.9
131340,661,Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,308,Greenwich Village - SoHo,2005-2007,2005-01-01,1.3
643427,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,409,Southeast Queens,Summer 2019,2019-06-01,12.99
799851,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,UHF42,409,Southeast Queens,2014,2014-01-01,1.383016423
823174,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,207,Kingsbridge Heights and Bedford (CD7),Annual Average 2022,2022-01-01,6.170215371
550064,375,Nitrogen dioxide (NO2),Mean,ppb,CD,301,Greenpoint and Williamsburg (CD1),Annual Average 2017,2017-01-01,21.15
211780,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,408,Jamaica,Annual Average 2014,2013-12-01,18.82
168473,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,209,Parkchester and Soundview (CD9),Winter 2009-10,2009-12-01,10.59
179791,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,102,Northeast Bronx,2015,2015-01-01,1.6
213958,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,304,Bushwick (CD4),Summer 2014,2014-06-01,9.03
823366,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,309310,Union Square-Lower Manhattan,Annual Average 2022,2022-01-01,7.342729248
179510,365,Fine particles (PM 2.5),Mean,mcg/m3,Borough,3,Manhattan,Winter 2011-12,2011-12-01,11.32
874327,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,205,Sunset Park,Annual Average 2023,2023-01-01,7.082294009
172594,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,301,Washington Heights,Annual Average 2009,2008-12-01,28.5
825788,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,104,Pelham - Throgs Neck,Winter 2021-22,2021-12-01,21.76856955
212829,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,408,Jamaica,Summer 2014,2014-06-01,8.1
172096,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,305307,Upper East Side-Gramercy,Summer 2009,2009-06-01,35.65
650046,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,409,Kew Gardens and Woodhaven (CD9),Winter 2018-19,2018-12-01,7.07
823414,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,210,Coney Island - Sheepshead Bay,Annual Average 2022,2022-01-01,5.401120876
166648,375,Nitrogen dioxide (NO2),Mean,ppb,CD,301,Greenpoint and Williamsburg (CD1),Summer 2009,2009-06-01,22.74
130485,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,503,Willowbrook,2013,2013-01-01,0.0
817296,645,Annual vehicle miles traveled (trucks),Million miles,per square mile,CD,312,Borough Park (CD12),2019,2019-01-01,1.798067
216605,386,Ozone (O3),Mean,ppb,CD,413,Queens Village (CD13),Summer 2012,2012-06-01,34.95
874479,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,305,Upper East Side,Summer 2023,2023-06-01,9.152812817
165756,375,Nitrogen dioxide (NO2),Mean,ppb,CD,206,Belmont and East Tremont (CD6),Winter 2008-09,2008-12-01,31.67
550001,375,Nitrogen dioxide (NO2),Mean,ppb,CD,104,Clinton and Chelsea (CD4),Annual Average 2017,2017-01-01,26.64
221861,386,Ozone (O3),Mean,ppb,UHF34,209,Bensonhurst - Bay Ridge,Summer 2009,2009-06-01,26.86
817015,644,Annual vehicle miles traveled (cars),Million miles,per square mile,CD,103,Lower East Side and Chinatown (CD3),2010,2010-01-01,120.201076
338193,386,Ozone (O3),Mean,ppb,UHF42,304,Upper West Side,Summer 2015,2015-06-01,28.12
336637,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,204,East New York,Annual Average 2015,2015-01-01,19.09
547493,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,504,South Beach - Tottenville,Winter 2016-17,2016-12-01,6.87
667490,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,404406,Bayside Little Neck-Fresh Meadows,Winter 2019-20,2019-12-01,20.96
547695,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,309,South Crown Heights and Lefferts Gardens (CD9),Summer 2017,2017-06-01,8.98
178484,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,102,Northeast Bronx,Annual Average 2011,2010-12-01,10.48
411995,386,Ozone (O3),Mean,ppb,UHF42,102,Northeast Bronx,Summer 2016,2016-06-01,33.21
825787,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,104,Pelham - Throgs Neck,Summer 2022,2022-06-01,11.9642793
628566,650,Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,"per 100,000 adults",UHF42,406,Fresh Meadows,2015-2017,2015-01-01,8.5
628879,653,Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,204,East New York,2015-2017,2015-01-01,163.6
816863,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,301,Washington Heights,2019,2019-01-01,143.146246
669774,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,304,Upper West Side,Winter 2019-20,2019-12-01,7.87
336516,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,202,Downtown - Heights - Slope,Winter 2014-15,2014-12-01,27.03
412613,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,402,West Queens,Winter 2015-16,2015-12-01,25.02
547730,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,402,Woodside and Sunnyside (CD2),Winter 2016-17,2016-12-01,9.36
154589,643,Annual vehicle miles traveled,Million miles,per square mile,CD,306,Park Slope and Carroll Gardens (CD6),2005,2005-01-01,68.108589
667489,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,404406,Bayside Little Neck-Fresh Meadows,Annual Average 2020,2020-01-01,13.66
131499,651,Cardiovascular hospitalizations due to PM2.5 (age 40+),Estimated annual rate,"per 100,000 adults",UHF42,503,Willowbrook,2009-2011,2009-01-01,17.8
216463,386,Ozone (O3),Mean,ppb,CD,307,Sunset Park (CD7),Summer 2014,2014-06-01,30.55
212953,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,406,Fresh Meadows,Annual Average 2014,2013-12-01,8.43
170238,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,204,Highbridge and Concourse (CD4),Annual Average 2010,2009-12-01,11.19
173250,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,409,Southeast Queens,Winter 2012-13,2012-12-01,9.27
667238,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,403,Flushing - Clearview,Winter 2019-20,2019-12-01,22.92
518565,659,Asthma emergency departments visits due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,207,East Flatbush - Flatbush,2012-2014,2012-01-02,67.6
211764,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,205,Sunset Park,Annual Average 2014,2013-12-01,20.23
629194,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,"per 100,000",UHF42,410,Rockaways,2015-2017,2015-01-01,7.7
669659,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,303,East Harlem,Summer 2020,2020-06-01,7.27
174118,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,206,Borough Park,Annual Average 2009,2008-12-01,10.27
151528,655,Asthma hospitalizations due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,102,Northeast Bronx,2009-2011,2009-01-01,32.2
878114,386,Ozone (O3),Mean,ppb,CD,302,Fort Greene and Brooklyn Heights (CD2),Summer 2023,2023-06-01,33.40842626
816855,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,305,Upper East Side,2019,2019-01-01,124.603967
131343,661,Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,401,Long Island City - Astoria,2005-2007,2005-01-01,3.7
130397,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,101,Kingsbridge - Riverdale,2013,2013-01-01,17.6
826042,375,Nitrogen dioxide (NO2),Mean,ppb,CD,304,Bushwick (CD4),Winter 2021-22,2021-12-01,22.57228758
876969,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,409,Southeast Queens,Summer 2023,2023-06-01,10.27182199
175355,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,305,Upper East Side,Winter 2010-11,2010-12-01,35.88
222496,386,Ozone (O3),Mean,ppb,UHF42,209,Bensonhurst - Bay Ridge,Summer 2014,2014-06-01,31.32
216364,386,Ozone (O3),Mean,ppb,CD,203,Morrisania and Crotona (CD3),Summer 2011,2011-06-01,31.87
130918,650,Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,"per 100,000 adults",UHF42,408,Jamaica,2005-2007,2005-01-01,17.9
743665,386,Ozone (O3),Mean,ppb,UHF34,401,Long Island City - Astoria,Summer 2021,2021-06-01,29.15369645
817244,645,Annual vehicle miles traveled (trucks),Million miles,per square mile,CD,110,Central Harlem (CD10),2019,2019-01-01,3.45075
825783,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,105,Crotona -Tremont,Annual Average 2022,2022-01-01,17.15201747
643541,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,503504,Southern SI,Summer 2019,2019-06-01,8.76
628929,659,Asthma emergency departments visits due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,206,Borough Park,2015-2017,2015-01-01,14.2
131170,655,Asthma hospitalizations due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",Borough,5,Staten Island,2005-2007,2005-01-01,11.7
547664,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,210,Throgs Neck and Co-op City (CD10),Winter 2016-17,2016-12-01,8.21
412724,375,Nitrogen dioxide (NO2),Mean,ppb,CD,211,Morris Park and Bronxdale (CD11),Winter 2015-16,2015-12-01,21.79
214143,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,312,Borough Park (CD12),Annual Average 2014,2013-12-01,8.89
173089,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,101,Kingsbridge - Riverdale,Winter 2008-09,2008-12-01,14.66
827138,386,Ozone (O3),Mean,ppb,UHF42,106,High Bridge - Morrisania,Summer 2022,2022-06-01,31.51181153
740946,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,211,Williamsburg - Bushwick,Annual Average 2021,2021-01-01,19.0385913
130356,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,102,Northeast Bronx,2005-2007,2005-01-01,77.3
170222,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,503,Tottenville and Great Kills (CD3),Annual Average 2009,2008-12-01,9.67
165823,375,Nitrogen dioxide (NO2),Mean,ppb,CD,302,Fort Greene and Brooklyn Heights (CD2),Winter 2009-10,2009-12-01,29.83
213258,375,Nitrogen dioxide (NO2),Mean,ppb,CD,312,Borough Park (CD12),Winter 2013-14,2013-12-01,28.27
179513,365,Fine particles (PM 2.5),Mean,mcg/m3,Borough,1,Bronx,Winter 2012-13,2012-12-01,11.16
170350,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,110,Central Harlem (CD10),Annual Average 2012,2011-12-01,9.95
603085,375,Nitrogen dioxide (NO2),Mean,ppb,CD,409,Kew Gardens and Woodhaven (CD9),Winter 2017-18,2017-12-01,25.27
605664,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,101,Kingsbridge - Riverdale,Summer 2018,2018-06-01,8.25
212089,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,305307,Upper East Side-Gramercy,Annual Average 2014,2013-12-01,12.13
669596,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,104,Clinton and Chelsea (CD4),Summer 2020,2020-06-01,8.32
518814,650,Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,"per 100,000 adults",UHF42,305,Upper East Side,2012-2014,2012-01-02,8.379345245
602891,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,403,Flushing - Clearview,Annual Average 2018,2018-01-01,17.63
179514,365,Fine particles (PM 2.5),Mean,mcg/m3,Borough,2,Brooklyn,Winter 2012-13,2012-12-01,10.33
222403,386,Ozone (O3),Mean,ppb,UHF42,101,Kingsbridge - Riverdale,Summer 2011,2011-06-01,31.24
549875,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,501,Port Richmond,Annual Average 2017,2017-01-01,16.98
175993,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,403,Flushing - Clearview,Summer 2011,2011-06-01,17.42
602726,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,202,Downtown - Heights - Slope,Annual Average 2018,2018-01-01,21.14
825792,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,102,Northeast Bronx,Annual Average 2022,2022-01-01,15.40448714
130724,646,Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,UHF42,502,Stapleton - St. George,2005,2005-01-01,1.3
605661,365,Fine particles (PM 2.5),Mean,mcg/m3,Borough,5,Staten Island,Summer 2018,2018-06-01,7.53
667640,375,Nitrogen dioxide (NO2),Mean,ppb,CD,209,Parkchester and Soundview (CD9),Winter 2019-20,2019-12-01,23.28
130396,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,504,South Beach - Tottenville,2005-2007,2005-01-01,65.0
603028,375,Nitrogen dioxide (NO2),Mean,ppb,CD,308,Crown Heights and Prospect Heights (CD8),Winter 2017-18,2017-12-01,26.53
667357,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,205,Sunset Park,Annual Average 2020,2020-01-01,16.77
518501,653,Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",Borough,3,Manhattan,2012-2014,2012-01-02,127.2
669893,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,305,East New York and Starrett City (CD5),Winter 2019-20,2019-12-01,7.33
338182,386,Ozone (O3),Mean,ppb,UHF42,204,East New York,Summer 2015,2015-06-01,32.58
173735,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,101,Kingsbridge - Riverdale,Summer 2013,2013-06-01,10.01
874432,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,501,Port Richmond,Annual Average 2023,2023-01-01,6.483942539
178573,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,107,Hunts Point - Mott Haven,Annual Average 2013,2012-12-01,9.57
179850,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,309,Union Square - Lower East Side,2015,2015-01-01,2.0
827447,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,401,Long Island City - Astoria,2017-2019,2017-01-01,42.0
742177,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,106,High Bridge - Morrisania,Winter 2020-21,2020-12-01,6.588964424
130965,651,Cardiovascular hospitalizations due to PM2.5 (age 40+),Estimated annual rate,"per 100,000 adults",UHF42,407,Southwest Queens,2005-2007,2005-01-01,25.6
605352,386,Ozone (O3),Mean,ppb,CD,404,Elmhurst and Corona (CD4),Summer 2018,2018-06-01,30.49
165749,375,Nitrogen dioxide (NO2),Mean,ppb,CD,111,East Harlem (CD11),Winter 2008-09,2008-12-01,34.22
173104,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,301,Washington Heights,Winter 2008-09,2008-12-01,15.06
411022,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,207,Kingsbridge Heights and Bedford (CD7),Annual Average 2016,2015-12-31,7.78
178414,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,209,Bensonhurst - Bay Ridge,Annual Average 2009,2008-12-01,9.91
179501,365,Fine particles (PM 2.5),Mean,mcg/m3,Borough,4,Queens,Winter 2009-10,2009-12-01,9.38
168432,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,315,Sheepshead Bay (CD15),Winter 2008-09,2008-12-01,11.23
605658,365,Fine particles (PM 2.5),Mean,mcg/m3,Borough,4,Queens,Summer 2018,2018-06-01,8.3
799854,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,UHF42,502,Stapleton - St. George,2014,2014-01-01,1.296787643
823200,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,109,Morningside Heights and Hamilton Heights (CD9),Winter 2021-22,2021-12-01,7.114914707
671114,386,Ozone (O3),Mean,ppb,CD,310,Bay Ridge and Dyker Heights (CD10),Summer 2020,2020-06-01,29.22
166654,375,Nitrogen dioxide (NO2),Mean,ppb,CD,307,Sunset Park (CD7),Summer 2009,2009-06-01,22.47
643545,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,105106107,South Bronx,Winter 2018-19,2018-12-01,23.64
669936,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,401,Long Island City and Astoria (CD1),Summer 2020,2020-06-01,7.38
823409,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,301,Washington Heights,Summer 2022,2022-06-01,7.231879874
173728,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,305307,Upper East Side-Gramercy,Summer 2012,2012-06-01,13.01
669702,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,104,Pelham - Throgs Neck,Winter 2019-20,2019-12-01,7.28
518621,655,Asthma hospitalizations due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,304,Upper West Side,2012-2014,2012-01-02,9.1
669669,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,211,Williamsburg - Bushwick,Winter 2019-20,2019-12-01,8.29
154595,643,Annual vehicle miles traveled,Million miles,per square mile,CD,312,Borough Park (CD12),2005,2005-01-01,57.386664
550119,375,Nitrogen dioxide (NO2),Mean,ppb,CD,401,Long Island City and Astoria (CD1),Winter 2016-17,2016-12-01,26.48
628405,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,210,Coney Island - Sheepshead Bay,2015-2017,2015-01-01,53.1
816790,643,Annual vehicle miles traveled,Million miles,per square mile,CD,201,Mott Haven and Melrose (CD1),2010,2010-01-01,75.642848
874575,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,402,West Queens,Annual Average 2023,2023-01-01,7.068291669
151575,661,Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,101,Kingsbridge - Riverdale,2009-2011,2009-01-01,7.5
827429,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",Borough,4,Queens,2017-2019,2017-01-01,14.0
649939,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,204,Highbridge and Concourse (CD4),Annual Average 2019,2019-01-01,7.24
649975,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,304,Bushwick (CD4),Annual Average 2019,2019-01-01,7.1
171617,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,408,Jamaica,Winter 2009-10,2009-12-01,25.35
741216,375,Nitrogen dioxide (NO2),Mean,ppb,CD,307,Sunset Park (CD7),Annual Average 2021,2021-01-01,18.0552559
172217,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,209,Bensonhurst - Bay Ridge,Summer 2013,2013-06-01,13.99
